locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
,,,,,,Pośrednik,,,,
Gdańsk Śródmieście,ul. Ogarna,2,49,921000,18990,Bez pośredników,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-ogarna-2-pokojowe-h6w1l5,https://s2.adresowa.pl/oi/75/76/3a7e72_5f95_cover-2-pokojowe-mieszkanie-gdansk-srodmiescie-ul-ogarna.jpg
Gdańsk Nowy Port,ul. Wyzwolenia,2,46,569000,12451,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-gdansk-nowy-port-ul-wyzwolenia-2-pokojowe-r9c3n8,https://s2.adresowa.pl/oi/22/60/3a7af6_8962_cover-2-pokojowe-mieszkanie-gdansk-nowy-port-ul-wyzwolenia.jpg
Gdańsk Piecki,ul. Królewskie Wzgórze,4,100,1250000,12500,Oferta biura nieruchomości,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-gdansk-piecki-ul-krolewskie-wzgorze-4-pokojowe-j7s9m2,https://s2.adresowa.pl/oi/41/79/3a70a2_c3ce_cover-4-pokojowe-mieszkanie-gdansk-piecki-ul-krolewskie-wzgorze.jpg
Gdańsk Śródmieście,ul. Angielska Grobla,2,47,1149000,24395,Oferta biura nieruchomości,ponad tydzień temu,35,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-angielska-grobla-2-pokojowe-u4c5l2,https://s2.adresowa.pl/oi/25/57/3a702e_7941_cover-2-pokojowe-mieszkanie-gdansk-srodmiescie-ul-angielska-grobla.jpg
Gdańsk Osowa,ul. Eugeniusza Kwiatkowskiego,2,37,480000,13115,Bez pośredników,ponad tydzień temu,9,https://adresowo.pl/o/mieszkanie-gdansk-osowa-ul-eugeniusza-kwiatkowskiego-2-pokojowe-p4g9r7,https://s2.adresowa.pl/oi/65/4b/3a79f4_713e_cover-2-pokojowe-mieszkanie-gdansk-osowa-ul-eugeniusza-kwiatkowskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Łostowice,,2,40,630000,15750,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-2-pokojowe-40-m2-r2e8t7,https://s2.adresowa.pl/oi/40/74/3a766e_af64_cover-2-pokojowe-mieszkanie-gdansk-lostowice.jpg
Gdańsk Nowy Port,,4,63,725000,11508,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-nowy-port-4-pokojowe-63-m2-u9h7r8,https://s2.adresowa.pl/oi/34/28/3a75a6_2f3b_cover-4-pokojowe-mieszkanie-gdansk-nowy-port.jpg
